Accession	Tolid	Species	# scaffolds	Total scaffold length	Average scaffold length	Scaffold N50	Scaffold auN	Scaffold L50	Largest scaffold	Smallest scaffold	# contigs	Total contig length	Average contig length	Contig N50	Contig auN	Contig L50	Largest contig	Smallest contig	# gaps in scaffolds	Total gap length in scaffolds	Average gap length in scaffolds	Gap N50 in scaffolds	Gap auN in scaffolds	Gap L50 in scaffolds	Largest gap in scaffolds	Smallest gap in scaffolds	Base composition (A:C:G:T)	GC content	# soft-masked bases	# segments	Total segment length	Average segment length	# gaps	# paths
GCA_027887145.1	bAmmCau1	Ammodramus caudacutus	282	1241209685	4401452.78	78443464	72425308.06	6	157152855	14639	645	1238290578	1919830.35	8252193	11712607.86	39	43812934	14639	363	2919107	8041.62	201234	200148.5	5	391762	13	350210613:269308384:269325049:349446532	43.5	346451704	645	1238290578	1919830.35	363	282
GCA_027579445.1	bAmmNel1	Ammospiza nelsoni	77	1185463352	15395627.95	74723840	72424714.23	6	155447619	28662	292	1180370373	4042364.29	12036358	15945081.3	27	50792433	28662	215	5092979	23688.27	1448458	980008.07	2	1645319	13	336571929:253616266:254098791:336083387	43.01	294605587	292	1180370373	4042364.29	215	77
GCA_036010785.1	bAmmMai1	Ammospiza maritima	501	1397856043	2790131.82	67791739	66271045.46	7	160940846	12483	866	1395800460	1611778.82	8735889	11083285.73	43	34862124	12483	365	2055583	5631.73	142612	284909.01	3	514615	13	390840928:307634136:307059452:390265944	44.04	467577851	866	1395800460	1611778.82	365	501
GCA_031885435.1	bPasSan2	Passerculus sandwichensis	110	1270940266	11554002.42	64395891	67698835.53	7	157118810	16778	359	1268127531	3532388.67	19816254	22082982.52	21	58262181	16778	249	2812735	11296.12	910184	930051.87	2	1324262	13	357342817:276982893:276622152:357179669	43.66	326769926	359	1268127531	3532388.67	249	110
GCA_047830755.1	bZonAlb1	Zonotrichia albicollis	180	1278938765	7105215.36	64429512	70449276.88	7	156573735	12643	409	1278894965	3126882.56	17147933	25035767.96	20	78389413	11300	229	43800	191.27	200	195.43	110	200	100	359226526:280128202:279749261:359790976	43.78	273965372	409	1278894965	3126882.56	229	180
GCA_036417665.1	bPasDom1	Passer domesticus	334	1310114252	3922497.76	83066519	78072231.98	6	161085800	2000	536	1310073852	2444167.63	20590000	27676114.39	17	85645488	2000	202	40400	200	200	200	101	200	200	367190987:288210356:288124989:366547520	43.99	384328957	536	1310073852	2444167.63	202	334
GCA_014839755.1	bSylBor1	Sylvia borin	176	1045652180	5941205.57	72750092	75868691.86	5	153146699	1265	310	1043816732	3367150.75	31914676	37846052.39	10	93783096	38	134	1835448	13697.37	334230	426343.46	2	728501	13	302126732:219605261:219651965:302432774	42.08	201768653	310	1043816732	3367150.75	134	176
GCA_009819655.1	bSylAtr1	Sylvia atricapilla	189	1066786587	5644373.48	72978054	75285538.65	5	153194430	628	602	1054861233	1752261.18	7345957	9024224.97	40	25161687	375	413	11925354	28874.95	232611	285512.43	15	752739	13	306041415:221597546:221434746:305787526	42	201730849	602	1054861233	1752261.18	413	189
GCA_015227805.3	bHirRus1	Hirundo rustica	617	1105955550	1792472.53	76187387	75993000.51	5	156035725	668	1719	1080421139	628517.24	2794774	4137552.64	100	18822688	324	1102	25534411	23170.97	67235	160105.46	81	859144	10	310319014:229795621:229863750:310442754	42.54	223105571	1719	1080421139	628517.24	1102	617
GCA_965231275.1	bZosLat1	Zosterops lateralis	427	1143512649	2678015.57	73228557	71286319.69	6	153749042	1000	1130	1143372049	1011833.67	3151134	4182045.18	101	13824676	1000	703	140600	200	200	200	352	200	200	330094150:241841369:241739006:329697524	42.29	241432040	1130	1143372049	1011833.67	703	427
GCA_009764595.1	bGeoTri1	Geothlypis trichas	278	1078128490	3878160.04	72541719	73707002.65	6	153087655	1633	1757	1064430700	605822.82	3247339	4580272.32	82	19001305	3	1479	13697790	9261.52	69602	131806.76	45	573828	13	308956879:223808532:223308181:308357108	42.01	210774257	1757	1064430700	605822.82	1479	278
GCA_903797595.2	bEriRub2	Erithacus rubecula	1119	1086738418	971169.27	60684490	62742052.3	6	148236322	9771	2109	1086450774	515149.73	5585877	7321859.19	52	30484272	1640	990	287644	290.55	500	427.71	288	500	12	314749973:228906578:228540881:314253342	42.1	221323005	2109	1086450774	515149.73	990	1119
GCA_009819885.2	bCatUst1	Catharus ustulatus	161	1131635256	7028790.41	68462074	76842924.91	6	165774257	848	590	1118731561	1896155.19	4908935	5921096.54	70	22235935	248	429	12903695	30078.54	930933	1123456.48	5	2188653	13	321638235:237646121:237612563:321834642	42.48	242713263	590	1118731561	1896155.19	429	161
GCA_030490865.1	bPoeAtr1	Poecile atricapillus	306	1251116877	4088617.25	107919339	95368104.56	5	181565373	1000	708	1250157952	1765759.82	8462732	10386196.63	44	34538472	1000	402	958925	2385.39	12147	19059.55	18	71075	13	359894274:265137377:265030069:360096232	42.41	291548759	708	1250157952	1765759.82	402	306
GCA_029582105.1	bOenMel1	Oenanthe melanoleuca	588	1036273591	1762370.05	69618406	70727388.88	6	148394521	989	1170	1036215391	885654.18	7795761	9901860.64	39	34847410	69	582	58200	100	100	100	291	100	100	300281213:217616610:217706886:300610682	42.01	203743966	1170	1036215391	885654.18	582	588
GCA_963662255.1	bCinCin1	Cinclus cinclus	278	1170855695	4211711.13	74357285	69964066.98	6	152364536	1000	936	1170724095	1250773.61	3563180	4044994.22	103	10379991	1000	658	131600	200	200	200	329	200	200	335268242:251171033:250183352:334101468	42.82	301339039	936	1170724095	1250773.61	658	278
GCA_020745825.3	bAgePho2	Agelaius phoeniceus	409	1188530404	2905942.31	71525342	67465324.35	6	155177309	21217	515	1188478804	2307725.83	22833505	33268775.38	13	98104917	1410	106	51600	486.79	500	689.15	30	1000	100	337640435:255958563:256868365:338011441	43.15	289407101	515	1188478804	2307725.83	106	409
GCA_027559615.1	bArcTri1	Acridotheres tristis	455	1193419045	2622899	75254055	71975411.73	6	156254668	18654	890	1190996522	1338198.34	7308823	9387824.14	44	32755575	17121	435	2422523	5569.02	145187	229343.95	4	587868	13	343643410:251470932:252611528:343270652	42.32	257521613	890	1190996522	1338198.34	435	455
GCA_014706295.1	bLycPyr6	Lycocorax pyrrhopterus	1695	1107771238	653552.35	74168823	71589978.9	6	152208986	210	3297	1102011750	334246.82	7380351	8410721.88	44	25411417	1	1602	5759488	3595.19	5000	4856.09	575	10000	1	314686265:236837621:236370795:314117069	42.94	214720681	3297	1102011750	334246.82	1602	1695
GCA_020740725.1	bCorHaw1	Corvus hawaiiensis	187	1151594481	6158259.26	76278832	65174594.99	6	123451405	2297	481	1149781254	2390397.62	23064755	27946083.06	15	80326523	2297	294	1813227	6167.44	1373673	1052157.98	1	1373673	13	326129250:249388464:248468219:325795321	43.3	262096878	481	1149781254	2390397.62	294	187
GCA_009650955.1	bCorMon1	Corvus moneduloides	106	1112750989	10497650.84	74699841	78951721.96	5	165740467	2217	395	1083880794	2744002.01	11524098	13572630.51	30	46782926	2217	289	28870195	99896.87	891790	1044904.04	10	2429583	98	311406456:230838143:230584028:311052167	42.57	208272855	395	1083880794	2744002.01	289	106
GCA_046129655.1	bCyaCrs1	Cyanocitta cristata	316	1227176437	3883469.74	76484566	71855304.56	6	158851056	16898	709	1227102137	1730750.55	6932545	11041000.38	40	34546023	7818	393	74300	189.06	200	194.21	186	200	100	345789602:267686840:267939674:345686021	43.65	297386266	709	1227102137	1730750.55	393	316
GCA_965178545.1	bColMon1	Coloeus monedula	729	1263996688	1733877.49	75391489	69504312.96	6	161071558	1000	1377	1263867088	917841.02	3289653	4064705.66	113	18772288	1000	648	129600	200	200	200	324	200	200	352831744:278548327:279576333:352910684	44.16	263966701	1377	1263867088	917841.02	648	729
GCA_009829145.1	bChiLan1	Chiroxiphia lanceolata	93	1089631598	11716468.8	75608808	76059298.62	5	156344557	202	299	1086328087	3633204.3	18496167	26246949.68	17	92219963	202	206	3303511	16036.46	2016302	1265138.5	1	2016302	13	315110526:227885247:228011684:315320630	41.97	209303788	299	1086328087	3633204.3	206	93
GCA_036250125.1	bDixPip1	Dixiphia pipra	697	1165219370	1671763.8	75011098	74502042.33	6	156033950	1000	1020	1165154770	1142308.6	10447158	13211213.83	32	39854227	1000	323	64600	200	200	200	162	200	200	333662414:248072607:248985776:334433973	42.66	244722177	1020	1165154770	1142308.6	323	697
GCA_045364795.1	bWilVid1	Willisornis vidua	1510	1233406177	816825.28	68492996	65021076.69	7	125632909	1000	2283	1233251577	540189.04	4357226	6681466.8	70	27082362	1000	773	154600	200	200	200	387	200	200	346715433:269763692:270087464:346684988	43.77	316711956	2283	1233251577	540189.04	773	1510
GCA_016904835.1	bAcaChl1	Acanthisitta chloris	206	1077387582	5230036.81	40827287	53684441.59	8	136573486	7106	401	1073171703	2676238.66	16681756	23963840.47	17	72995027	3373	195	4215879	21619.89	73894	145081.38	14	467950	13	308841864:227396457:227698991:309234391	42.41	196869961	401	1073171703	2676238.66	195	206
GCA_004027225.2	bStrHab1	Strigops habroptilus	90	1148615375	12762393.06	83240647	83118689.39	6	155644563	17830	463	1138071294	2458037.35	9454087	10423368.53	40	27948959	1	373	10544081	28268.31	123971	250555.24	20	885493	1	330099708:238743396:238851933:330376257	41.97	227714872	463	1138071294	2458037.35	373	90
GCA_012275295.1	bMelUnd1	Melopsittacus undulatus	865	1171635651	1354492.08	104092594	89436656.04	5	155071706	1271	1149	1168399522	1016883.83	16636420	21565593.21	19	55942023	1271	284	3236129	11394.82	139565	375122.85	5	984116	13	339523788:244018111:244344529:340513094	41.8	250762409	1149	1168399522	1016883.83	284	865
GCA_028858755.1	bAraAra1	Ara ararauna	246	1224360198	4977073.98	110438430	105179439.7	5	169343748	10552	353	1223372069	3465643.25	38811057	43728431.51	10	107111114	10552	107	988129	9234.85	191219	212580.63	2	358753	13	349921095:260804721:261427317:351218936	42.69	296208800	353	1223372069	3465643.25	107	246
GCA_039720435.1	bAmaOch1	Amazona ochrocephala 	1679	1361915838	811147.01	92674118	78777770.83	6	138638134	11173	1877	1361880138	725562.14	14879228	18831306.06	26	66277070	11173	198	35700	180.3	200	189.08	90	200	100	385453496:295213409:296162188:385051045	43.42	405282539	1877	1361880138	725562.14	198	1679
GCA_037157495.1	bLatDis1	Lathamus discolor	368	1241022905	3372344.85	126105786	109157038.9	5	166042398	18672	554	1238813158	2236124.83	19972387	25185553.19	18	83049759	4407	186	2209747	11880.36	216787	287981.58	3	600373	13	355010700:264523927:264037547:355240984	42.67	315846568	554	1238813158	2236124.83	186	368
GCA_045345405.1	bGuaGua1	Guaruba guaruba	216	1366127126	6324662.62	109727540	95729495.92	5	168782984	14000	389	1366092526	3511805.98	33341676	44270753.51	12	119566610	14000	173	34600	200	200	200	87	200	200	388077340:295132782:296951621:385930783	43.34	413071562	389	1366092526	3511805.98	173	216
GCA_963264785.1	bPsiEch3	Psittacula echo	172	1203831919	6999022.78	106987384	99878734.45	5	168074981	1000	530	1203760487	2271246.2	5922112	6949613.67	65	24110086	1000	358	71432	199.53	200	199.92	179	200	32	345643295:257000676:256556785:344559731	42.66	295503087	530	1203760487	2271246.2	358	172
GCA_023634155.1	bFalPer1	Falco peregrinus	124	1311580791	10577264.44	93682670	86409728.31	6	130779382	1890	356	1307566406	3672939.34	15744644	19314343.22	24	46898215	1890	232	4014385	17303.38	278995	370761.32	5	913007	13	375276910:279518958:278128660:374641878	42.65	315169041	356	1307566406	3672939.34	232	124
GCA_015220075.1	bFalRus1	Falco rusticolus	133	1195847766	8991336.59	91094845	85113803.78	6	126922963	4121	768	1190501952	1550132.75	15323486	18425620.95	24	60549391	779	635	5345814	8418.6	134993	159078.39	13	468361	10	344323252:251396864:251016690:343765146	42.2	217019846	768	1190501952	1550132.75	635	133
GCA_023638135.1	bFalBia1	Falco biarmicus	397	1285492283	3238015.83	91472507	80068584.48	6	127364718	3434	555	1283339475	2312323.38	24892811	33653372.77	13	89694807	3434	158	2152808	13625.37	279223	257057.22	3	454465	13	365244719:275655218:276502024:365937514	43.03	294857223	555	1283339475	2312323.38	158	397
GCA_023634085.1	bFalChe1	Falco cherrug	282	1309366964	4643145.26	92426045	80233089.19	6	127826306	18187	540	1305405309	2417417.24	21245687	22227066.9	20	56117991	716	258	3961655	15355.25	323748	442303.34	4	938666	13	371186312:282427726:280896958:370894313	43.15	318338966	540	1305405309	2417417.24	258	282
GCA_017639655.1	bFalNau1	Falco naumanni	291	1215719661	4177730.79	91761059	84762407.27	6	127440759	1025	589	1211642374	2057117.78	13754753	19290570.76	25	56489468	614	298	4077287	13682.17	162567	364675.03	6	1032674	13	350065203:256591208:255940131:349045832	42.3	224937244	589	1211642374	2057117.78	298	291
GCA_963210335.1	bFalPun1	Falco punctatus	316	1279277844	4048347.61	92385878	81230819.48	6	127704412	1000	723	1279196244	1769289.41	4755657	5457405.28	87	19733697	1000	407	81600	200.49	200	200.98	203	400	200	365542117:271266704:274511299:367876124	42.67	283481780	723	1279196244	1769289.41	407	316
GCA_009819825.1	bCarCri1	Cariama cristata	110	1215245693	11047688.12	30176635	33427248.73	14	88027262	2034	304	1210312355	3981290.64	13514148	16025116.16	28	41774615	11	194	4933338	25429.58	223538	217334.1	8	534729	13	349637340:255223843:255487152:349964020	42.2	226581211	304	1210312355	3981290.64	194	110
GCA_014839835.1	bDryPub1	Dryobates pubescens	181	1187956536	6563295.78	38715865	47582049.47	11	140157326	379	368	1183953406	3217264.69	19150283	20918166.69	20	53794067	379	187	4003130	21407.11	368022	434786.77	4	800785	13	323862691:268316353:268190101:323584261	45.31	371059018	368	1183953406	3217264.69	187	181
GCA_015220805.1	bPogPus1	Pogoniulus pusillus	253	1272358903	5029086.57	33994490	39840995.62	13	117909544	5358	560	1266346146	2261332.4	16792259	18226827.13	25	47589575	1797	307	6012757	19585.53	173817	290301.43	9	824725	13	342013845:290824047:291203073:342305181	45.96	446331334	560	1266346146	2261332.4	307	253
GCA_009819595.1	bMerNub1	Merops nubicus	109	1149356202	10544552.31	49132790	51290188.02	9	81488222	6502	378	1143301140	3024606.19	12372304	15429846	26	41280599	1536	269	6055062	22509.52	131327	1169270.64	4	2610509	13	326362803:245038072:245194651:326705614	42.88	224935606	378	1143301140	3024606.19	269	109
GCA_009769605.1	bBucAby1	Bucorvus abyssinicus	112	1132597561	10112478.22	40274051	50408305.23	9	136452362	2790	316	1124523019	3558617.15	12039478	14119369.54	29	38151749	802	204	8074542	39581.09	187541	435625.75	10	1528092	13	318493317:243097054:243791425:319141223	43.3	210708068	316	1124523019	3558617.15	204	112
GCA_020746105.1	bTroSur1	Trogon surrucura	182	1165749515	6405217.12	82617956	93688524	5	222214447	1349	435	1155478760	2656273.01	16237294	18147070.16	23	44073144	726	253	10270755	40595.87	241935	347944.43	12	1121181	13	330745128:247517451:247051513:330164668	42.8	255034707	435	1155478760	2656273.01	253	182
GCA_034619465.1	bLepDis1	Leptosomus discolor	278	1332047658	4791538.34	82124922	86467017.17	6	219330182	11844	549	1331993458	2426217.59	8826436	11548236.3	43	42063349	11844	271	54200	200	200	200	136	200	200	374931977:290875094:291012529:375173858	43.69	278053853	549	1331993458	2426217.59	271	278
GCA_028858725.2	bColStr4	Colius striatus	190	1212464869	6381394.05	89023854	85298926.76	5	206588619	12990	348	1206617144	3467290.64	21931325	31017857.09	16	111994057	12990	158	5847725	37010.92	1918310	1414548.98	2	1995978	13	348175433:255156658:255086214:348198839	42.29	275390146	348	1206617144	3467290.64	158	190
GCA_031877795.1	bStrAlu1	Strix aluco	203	1414802443	6969470.16	89389700	83124306.04	6	173077747	19298	484	1410489790	2914235.1	11872084	15418624.65	33	44761009	3101	281	4312653	15347.52	250699	1096788.08	2	2116532	13	403197545:301692549:300644263:404955433	42.7	377068277	484	1410489790	2914235.1	281	203
GCA_965140245.1	bAthNoc1	Athene noctua	717	1355875761	1891040.11	86326089	103307227.7	5	265814424	1000	1289	1355761361	1051793.14	4050372	4901980.32	101	21476446	1000	572	114400	200	200	200	286	200	200	383179275:295062996:293927975:383591115	43.44	331206583	1289	1355761361	1051793.14	572	717
GCA_900496995.4	bAquChr1	Aquila chrysaetos	145	1233723095	8508435.14	46934974	53690184.09	9	88216475	1203	373	1228521835	3293624.22	21924221	24674981.2	19	76091984	252	228	5201260	22812.54	181657	281623.87	7	680545	12	355057645:258779140:259160900:355524150	42.16	239380846	373	1228521835	3293624.22	228	145
GCA_947461875.1	bHalAlb1	Haliaeetus albicilla	188	1320298205	7022862.79	44398590	46840544.75	12	85729264	1000	612	1320213405	2157211.45	4576000	5706164.92	85	18990351	1000	424	84800	200	200	200	212	200	200	375079233:284389982:285262109:375482081	43.15	303477942	612	1320213405	2157211.45	424	188
GCA_026419915.1	bHarHar1	Harpia harpyja	322	1351447071	4197040.59	58111031	64204508.02	8	117051599	1578	664	1348795677	2031318.79	16799191	19766241.78	26	66700503	643	342	2651394	7752.61	144201	224406.32	5	484506	13	382689753:292775839:292503134:380826951	43.39	327081242	664	1348795677	2031318.79	342	322
GCA_045345515.1	bMorGui1	Morphnus guianensis	544	1576624229	2898206.3	61450600	58342440.71	10	102737265	15115	708	1576591429	2226824.05	26372894	28282591.27	21	79808863	15115	164	32800	200	200	200	82	200	200	437249200:350325569:348050225:440966435	44.3	520864741	708	1576591429	2226824.05	164	544
GCA_929443795.1	bAccGen1	Astur gentilis	455	1398027955	3072588.91	35025567	36614331.99	15	89764762	1000	638	1397991355	2191209.02	17712854	17962654.25	27	45294000	1000	183	36600	200	200	200	92	200	200	392724541:305687654:306358821:393220339	43.78	373314682	638	1397991355	2191209.02	183	455
GCA_028022735.1	bGypBar2	Gypaetus barbatus	232	1365299843	5884913.12	52189775	57345077.56	10	91544569	19635	491	1363299411	2776577.21	18064636	20522066.67	24	57496451	19635	259	2000432	7723.68	119145	403809.82	3	853331	13	384718854:297398917:295664643:385516997	43.5	354088597	491	1363299411	2776577.21	259	232
GCA_964188355.1	bButBut1	Buteo buteo	544	1303700921	2396509.05	46961128	49064212.06	10	89587085	7705	1015	1303606721	1284341.6	4249591	5550016.44	88	23540479	7705	471	94200	200	200	200	236	200	200	370348875:281191117:281523778:370542951	43.17	303742414	1015	1303606721	1284341.6	471	544
GCA_037962945.1	bSarPap1	Sarcoramphus papa	124	1543950730	12451215.56	96420541	104591281.8	5	234816392	11892	278	1543919930	5553668.81	40899883	67104733.55	10	233235662	11892	154	30800	200	200	200	77	200	200	430495590:338488401:342671912:432264027	44.12	493069138	278	1543919930	5553668.81	154	124
GCA_030463565.1	bPelCri1	Pelecanus crispus	311	1314587946	4226970.89	86807213	108535961.9	5	227928177	16542	701	1314509946	1875192.5	9666746	13399739.97	36	48701803	16542	390	78000	200	200	200	195	200	200	371582694:285067692:285506498:372353062	43.41	273594281	701	1314509946	1875192.5	390	311
GCA_020745775.1	bTheCae1	Theristicus caerulescens	88	1203372763	13674690.49	101368359	98394521.65	5	168284945	4648	192	1201104556	6255752.9	37098842	43794009.16	10	106660216	3157	104	2268207	21809.68	170428	247367.41	4	547300	13	346022154:254427626:254513960:346140816	42.37	233550658	192	1201104556	6255752.9	104	88
GCA_965183815.1	bPlaLeu2	Platalea leucorodia	669	1345843103	2011723.62	94714899	91795300.84	6	169228035	1000	1372	1345702503	980832.73	3299000	3992288.54	121	12216800	1000	703	140600	200	200	200	352	200	200	379018552:292842832:294156218:379684901	43.62	303420242	1372	1345702503	980832.73	703	669
GCA_949628215.1	bGulAri2.1	Gulosus aristotelis	353	1279134750	3623611.19	78889319	100185481.7	5	219240020	1000	575	1279090533	2224505.27	11420000	13710862.25	34	42241340	1000	222	44217	199.18	200	199.93	111	200	17	363984965:275405768:275842990:363856810	43.1	283419557	575	1279090533	2224505.27	222	353
GCA_963921805.1	bPhaCar2	Phalacrocorax carbo	351	1283643005	3657102.58	84621172	99707883.42	5	218912229	1000	844	1283544405	1520787.21	4631399	5646725.15	84	17734608	1000	493	98600	200	200	200	247	200	200	362662387:278643931:279286912:362951175	43.47	281468095	844	1283544405	1520787.21	493	351
GCA_031468815.1	bMorBas2	Morus bassanus	421	1294804326	3075544.72	85624757	78433099.22	6	170178824	9928	669	1294754726	1935358.33	10178591	11944731.03	40	42930975	9928	248	49600	200	200	200	124	200	200	372925400:275348358:274091962:372389006	42.44	262677709	669	1294754726	1935358.33	248	421
GCA_017639555.1	bCicMag1	Ciconia maguari	153	1239437416	8100898.14	85554746	105772397.2	5	220367150	1208	385	1217227625	3161630.19	23757428	23890974.55	18	64002882	486	232	22209791	95731.86	794119	1162588.96	7	2810253	13	352379054:256396222:256311130:352141219	42.12	234593208	385	1217227625	3161630.19	232	153
GCA_964195595.2	bCalBor7	Calonectris borealis	355	1366205003	3848464.8	86023716	94444779.12	5	221108703	1000	880	1366099988	1552386.35	4142416	4923479.57	99	15265181	1000	525	105015	200.03	200	200.03	263	215	200	386588088:295865757:295539371:388106772	43.29	329530681	880	1366099988	1552386.35	525	355
GCA_027474245.1	bSphHub1	Spheniscus humboldti	136	1358357718	9987924.4	89079306	109364788.3	5	231542106	17816	389	1357302657	3489209.92	13936613	17012300.55	30	57147220	17816	253	1055061	4170.2	49720	186984.76	3	427566	13	380817605:298786146:297168766:380530140	43.91	341805253	389	1357302657	3489209.92	253	136
GCA_030936135.1	bGavSte3	Gavia stellata	1186	1321287916	1114070.76	50637386	60950168.78	8	133328454	17343	1435	1321238116	920723.43	13765203	15548254.43	31	62764780	17343	249	49800	200	200	200	125	200	200	375192340:284471423:285088094:376486259	43.11	303175453	1435	1321238116	920723.43	249	1186
GCA_964289735.1	bPhaAeh10	Phaethon aethereus	657	1321027743	2010696.72	85546101	98501438.08	5	224165678	1000	1926	1320773943	685760.1	2122569	2607929.18	181	10023229	1000	1269	253800	200	200	200	635	200	200	375513900:285200317:284692536:375367190	43.15	322166808	1926	1320773943	685760.1	1269	657
GCA_027574665.1	bRhyJub1	Rhynochetos jubatus	148	1331454348	8996313.16	63592491	69660929.75	7	148633065	17051	448	1330929107	2970823.9	10485863	12918078.11	36	33969142	5083	300	525241	1750.8	22199	46883.22	6	139650	13	365956956:300160172:299751773:365060206	45.07	367872267	448	1330929107	2970823.9	300	148
GCA_017639485.1	bPluApr1	Pluvialis apricaria	107	1247767512	11661378.62	87527607	105986799	5	222690203	3688	375	1235472775	3294594.07	15203797	21179057.87	23	79609756	495	268	12294737	45875.88	325410	477784.7	10	1320089	13	353889966:263844695:263713142:354024972	42.7	256679703	375	1235472775	3294594.07	268	107
GCA_965231255.1	bVanVan1	Vanellus vanellus	2408	1476623026	613215.54	82789932	88712329.49	6	223038323	1000	3344	1476435826	441517.89	1930563	2572920.59	211	10198671	1000	936	187200	200	200	200	468	200	200	409171307:330314633:327152815:409797071	44.53	471566293	3344	1476435826	441517.89	936	2408
GCA_008658365.1	bAlcTor1	Alca Torda	95	1178492568	12405184.93	84526827	105188600.7	4	215872496	13591	322	1174931441	3648855.41	18221265	18676501.89	23	48160765	18	227	3561127	15687.78	76607	129471.67	12	351905	10	336677758:250540549:250744010:336969124	42.67	229445144	322	1174931441	3648855.41	227	95
GCA_964106895.1	bNumArq3	Numenius arquata	1819	1348876333	741548.29	63363742	66826363.31	8	141981056	1000	2604	1348719333	517941.37	2605715	3825338.74	133	19121832	1000	785	157000	200	200	200	393	200	200	377811085:295726125:297415627:377766496	43.98	373810446	2604	1348719333	517941.37	785	1819
GCA_009819605.1	bSteHir1	Sterna hirundo	123	1229972541	9999776.76	85487239	109243231.8	5	220148669	1608	328	1219607931	3718316.86	22002498	25203837.37	18	71563357	464	205	10364610	50559.07	586445	1086169.81	4	2507864	13	347213320:262350291:262487098:347557222	43.03	250311342	328	1219607931	3718316.86	205	123
GCA_028500815.1	bRisTri1	Rissa tridactyla	716	1353621101	1890532.26	88208671	99842508.93	5	219604264	13704	999	1352834728	1354188.92	15653959	21680944.49	24	88849838	13704	283	786373	2778.7	24201	26040.18	11	55470	13	376189844:300278113:300361171:376005600	44.4	353021069	999	1352834728	1354188.92	283	716
GCA_963924245.1	bChrRid1	Chroicocephalus ridibundus	729	1417571123	1944542.01	83755488	96687068.55	6	220911672	1000	1191	1417478723	1190158.46	4003687	4902485.6	105	16364000	1000	462	92400	200	200	200	231	200	200	392641896:316656395:316411925:391768507	44.66	435347980	1191	1417478723	1190158.46	462	729
GCA_963932225.1	bLarFus1	Larus fuscus	1367	1324286540	968753.87	86500895	100361016.2	5	218474787	1000	1904	1324179125	695472.23	3570916	4629569.05	106	17225182	1000	537	107415	200.03	200	200.03	269	215	200	368359297:294293184:293672978:367853666	44.4	350789861	1904	1324179125	695472.23	537	1367
GCA_964199755.1	blarMic1	Larus michahellis	618	1405581498	2274403.72	87713602	99773605.12	5	224375286	1000	1118	1405481498	1257139.09	4216312	5197829.86	98	17663599	1000	500	100000	200	200	200	250	200	200	388684192:313577996:313864006:389355304	44.64	409435831	1118	1405481498	1257139.09	500	618
GCA_964417175.1	bLarArg3	Larus argentatus	401	1417856064	3535800.66	88668981	98968392.74	5	220808802	1000	960	1417744264	1476816.94	3525167	4920260.35	114	25645585	1000	559	111800	200	200	200	280	200	200	391965575:317795009:317367244:390616436	44.8	409265628	960	1417744264	1476816.94	559	401
GCA_011004875.1	bBalReg1	Balearica regulorum gibbericeps	105	1221051782	11629064.59	82577926	101241761	5	219267915	1068	249	1216255745	4884561.22	23326060	32913565.12	14	79692185	563	144	4796037	33305.81	195457	213663.11	9	402205	13	350439230:257819735:257633742:350363038	42.38	241549382	249	1216255745	4884561.22	144	105
GCA_028858705.1	bGruAme1	Grus americana	929	1257821324	1353951.91	82903739	98160559.04	5	219868338	1626	1191	1253145146	1052178.96	28324902	42453265.93	11	111907498	1626	262	4676178	17848.01	149653	229315.74	8	543171	8	357103802:270693737:269014573:356333034	43.07	270201976	1191	1253145146	1052178.96	262	929
GCA_964106855.1	bGruGru1	Grus grus	754	1352282554	1793478.19	83713171	94995268.1	5	224747368	1000	1347	1352163954	1003833.67	3365458	4133859.33	116	12994772	1000	593	118600	200	200	200	297	200	200	377911039:300992300:297216713:376043902	44.24	354040152	1347	1352163954	1003833.67	593	754
GCA_020800305.1	bPorHoc1	Porphyrio hochstetteri	174	1270294353	7300542.26	71566193	97523491.27	5	224114340	3912	501	1264978104	2524906.4	13461271	14298185.28	31	42507593	1467	327	5316249	16257.64	355237	478592.45	5	1200522	13	356145761:276874760:276442171:355515412	43.74	320589007	501	1264978104	2524906.4	327	174
GCA_964237585.1	bGalChl1	Gallinula chloropus	818	1282411533	1567740.26	90336355	94025002.23	5	215888759	1000	1421	1282290933	902386.3	3673000	4535252.64	104	17049112	1000	603	120600	200	200	200	302	200	200	354501952:286358823:286855996:354574162	44.7	320069551	1421	1282290933	902386.3	603	818
GCA_030867145.1	bOpiHoa1	Opisthocomus hoazin	415	1482459898	3572192.53	80946297	75065538.77	7	157519659	14498	683	1482406298	2170433.82	14274197	19039304.59	30	84052069	14498	268	53600	200	200	200	134	200	200	403208716:337107887:338252255:403837440	45.56	359350482	683	1482406298	2170433.82	268	415
GCA_003957555.2	bCalAnn1	Calypte anna	160	1059706240	6623164	74081004	88530465.04	4	197551010	4777	589	1043609452	1771832.69	14522327	17728472.66	21	48747865	5	429	16096788	37521.65	234592	260440.59	24	664828	1	305583664:216610020:216429140:304986628	41.49	213567080	589	1043609452	1771832.69	429	160
GCA_023637945.2	bPhaSup1	Phaethornis superciliosus	65	1020009783	15692458.2	72671965	90006273.2	4	196608326	6938	205	1016199569	4957071.07	35194150	48404027.94	8	123323939	587	140	3810214	27215.81	396544	388815.11	4	609119	13	299858788:208345734:208326839:299668208	41	197758163	205	1016199569	4957071.07	140	65
