Accession,Clade,total_paths,total_gaps,total_telomeres,mean_length,median_length,min_length,max_length,two_telomeres,one_telomere,no_telomeres,t2t,gapped_t2t,missassembled,gapped_missassembled,incomplete,gapped_incomplete,no_telomeres_comp,gapped_no_telomeres,discordant,gapped_discordant,core_id,version_num,with_telomeres,n_chromosomes,two_telomeres_pct,one_telomere_pct,with_telomeres_pct,total_telomeres_pct_of_ends,Complete_BUSCO,Single_BUSCO,Duplicated_BUSCO,Fragmented_BUSCO,Missing_BUSCO,STOP_BUSCO,Frameshift_BUSCO,Complete_Compleasm,Single_Compleasm,Duplicated_Compleasm,Retrocopy_Compleasm,Fragmented_Compleasm,Missing_Compleasm,Frameshift_Compleasm,# scaffolds,Total scaffold length,Average scaffold length,Scaffold N50,Scaffold auN,Scaffold L50,Largest scaffold,Smallest scaffold,# contigs,Total contig length,Average contig length,Contig N50,Contig auN,Contig L50,Largest contig,Smallest contig,# gaps in scaffolds,Total gap length in scaffolds,Average gap length in scaffolds,Gap N50 in scaffolds,Gap auN in scaffolds,Gap L50 in scaffolds,Largest gap in scaffolds,Smallest gap in scaffolds,Base composition (A:C:G:T),GC content,# soft-masked bases,# segments,Total segment length,Average segment length,# gaps,# paths,Technology,Extended lineage,Assembly tech,Complete_BUSCO_log10p1,Single_BUSCO_log10p1,Duplicated_BUSCO_log10p1,Fragmented_BUSCO_log10p1,Missing_BUSCO_log10p1,STOP_BUSCO_log10p1,Frameshift_BUSCO_log10p1,Complete_Compleasm_log10p1,Single_Compleasm_log10p1,Duplicated_Compleasm_log10p1,Retrocopy_Compleasm_log10p1,Fragmented_Compleasm_log10p1,Missing_Compleasm_log10p1,Frameshift_Compleasm_log10p1,# scaffolds_log10p1,Total scaffold length_log10p1,Average scaffold length_log10p1,Scaffold N50_log10p1,Scaffold auN_log10p1,Scaffold L50_log10p1,Largest scaffold_log10p1,Smallest scaffold_log10p1,# contigs_log10p1,Total contig length_log10p1,Average contig length_log10p1,Contig N50_log10p1,Contig auN_log10p1,Contig L50_log10p1,Largest contig_log10p1,Smallest contig_log10p1,# gaps in scaffolds_log10p1,Total gap length in scaffolds_log10p1,Average gap length in scaffolds_log10p1,Gap N50 in scaffolds_log10p1,Gap auN in scaffolds_log10p1,Gap L50 in scaffolds_log10p1,Largest gap in scaffolds_log10p1,Smallest gap in scaffolds_log10p1,Base composition (A:C:G:T)_log10p1,GC content_log10p1,# soft-masked bases_log10p1,# segments_log10p1,Total segment length_log10p1,Average segment length_log10p1,# gaps_log10p1,# paths_log10p1
GCA_037157525.1,mammals,25,79,31,14980.1,14287,4087,25550,9,13,3,0,9,0,0,4,9,1,2,0,0,37157525,1,22,24,37.5,54.16666667,91.66666667,64.58333333,3375,3252,123,8,7,195,527,3382,3321,14,47,5,3,70,326,2478684717,7603327.35,112651663,121526232.3,9,278819313,6205,406,2478672017,6105103.49,63410948,62935424.26,15,142808176,6205,80,12700,158.75,200,174.02,32,200,100,,42.3,993706447,406,2478672017,6105103.49,80,326,HiFi,Mammals,HiFi,3.528402438,3.512284063,2.093421685,0.954242509,0.903089987,2.292256071,2.722633923,3.529301998,3.521399628,1.176091259,1.681241237,0.77815125,0.602059991,1.851258349,2.514547753,9.394221289,6.881003746,8.051737611,8.084670037,1,8.445322854,3.792811771,2.609594409,9.394219064,6.785693101,7.802164253,7.798895171,1.204119983,8.154753075,3.792811771,1.908485019,4.103837916,2.203440867,2.303196057,2.24308768,1.51851394,2.303196057,2.004321374,,1.636487896,8.997258108,2.609594409,9.394219064,6.785693101,1.908485019,2.514547753
GCA_963383645.1,mammals,25,1804,22,5953.5,5626,1154,14607,6,10,9,0,5,0,1,0,10,1,8,0,0,963383645,1,16,24,25,41.66666667,66.66666667,45.83333333,3378,3259,119,2,10,206,617,3384,3317,13,54,2,4,79,213,2497520702,11725449.31,119481734,133749910,8,239886027,1000,2018,2497159702,1237442.87,2432660,3087843.73,310,14310204,1000,1805,361000,200,200,200,903,200,200,,41.73,1084122129,2018,2497159702,1237442.87,1805,213,HiFi,Mammals,HiFi,3.528788192,3.5132176,2.079181246,0.477121255,1.041392685,2.315970345,2.790988475,3.529558673,3.520876382,1.146128036,1.740362689,0.477121255,0.698970004,1.903089987,2.330413773,9.397509097,7.069129531,8.07730152,8.126293502,0.954242509,8.380004954,3.000434077,3.305136319,9.397446318,6.092525509,6.386081593,6.489655454,2.492760389,7.155645855,3.000434077,3.256717746,5.557508405,2.303196057,2.303196057,2.303196057,2.95616843,2.303196057,2.303196057,,1.630732893,9.03507821,3.305136319,9.397446318,6.092525509,3.256717746,2.330413773
GCA_964146895.2,mammals,25,140,20,2883.8,2719,592,6046,5,12,8,0,3,0,2,3,9,1,7,0,0,964146895,2,17,24,20.83333333,50,70.83333333,41.66666667,3381,3333,48,5,4,167,519,3386,3365,10,11,1,3,49,186,1850590334,9949410.4,87795433,100270149.3,8,202313579,13000,326,1850562334,5676571.58,28014000,32192266.13,21,83366000,13000,140,28000,200,200,200,70,200,200,,42.51,562459587,326,1850562334,5676571.58,140,186,HiFi,Mammals,HiFi,3.529173603,3.522965595,1.69019608,0.77815125,0.698970004,2.225309282,2.716003344,3.529815197,3.527114112,1.041392685,1.079181246,0.301029996,0.602059991,1.698970004,2.271841607,9.26731029,6.997797389,7.94347193,8.001171666,0.954242509,8.306025035,4.113976758,2.514547753,9.267303719,6.754086195,7.44737514,7.507751563,1.342422681,7.920988969,4.113976758,2.149219113,4.447173542,2.303196057,2.303196057,2.303196057,1.851258349,2.303196057,2.303196057,,1.638589083,8.750091324,2.514547753,9.267303719,6.754086195,2.149219113,2.271841607
GCF_027574615.1,mammals,25,70,26,12904.4,13738,1107,21794,2,23,0,0,1,0,1,3,20,0,0,0,0,27574615,1,25,25,8,92,100,52,3379,3308,71,2,9,214,565,3382,3346,9,27,3,5,76,49,2008074896,40981120.33,102817582,93258259.53,9,136610247,17030,124,2008046339,16193922.09,49033427,55539696.31,13,108338125,17030,75,28557,380.76,498,425.57,29,504,84,,43.51,730704253,124,2008046339,16193922.09,75,49,CLR,Mammals,CLR,3.5289167,3.519696767,1.857332496,0.477121255,1,2.33243846,2.752816431,3.529301998,3.524655712,1,1.447158031,0.602059991,0.77815125,1.886490725,1.698970004,9.302779907,7.612583837,8.01206739,7.969687311,1,8.13548328,4.231240149,2.096910013,9.302773731,7.209352072,7.690492256,7.744603509,1.146128036,8.034781319,4.231240149,1.880813592,4.455727789,2.581790422,2.698100546,2.629990309,1.477121255,2.703291378,1.929418926,,1.648457594,8.863741636,2.096910013,9.302773731,7.209352072,1.880813592,1.698970004
GCF_947179515.1,mammals,25,1129,15,8671.2,6639,1657,23236,0,15,10,0,0,0,0,0,15,1,9,0,0,947179515,1,15,25,0,60,60,30,3375,3307,68,3,12,129,330,3381,3345,10,26,3,6,76,498,2889801511,5802814.28,120938251,124090376.9,9,211764336,1000,1627,2889575894,1776014.69,4449850,5262913.71,199,17563194,1000,1129,225617,199.84,200,199.99,565,200,17,,41.23,1155108734,1627,2889575894,1776014.69,1129,498,HiFi,Mammals,HiFi,3.528402438,3.519565501,1.838849091,0.602059991,1.113943352,2.113943352,2.519827994,3.529173603,3.524525937,1.041392685,1.431363764,0.602059991,0.84509804,1.886490725,2.698100546,9.460868014,6.763638746,8.082563687,8.093738107,1,8.325852823,3.000434077,3.211654401,9.460834106,6.249446798,6.648345469,6.721226332,2.301029996,7.244603523,3.000434077,3.053078443,5.353373745,2.302850213,2.303196057,2.30317445,2.752816431,2.303196057,1.255272505,,1.625621081,9.062622868,3.211654401,9.460834106,6.249446798,3.053078443,2.698100546
GCA_009914755.4,primates,25,0,48,2853.19,2699,1457,6319,24,0,1,24,0,0,0,0,0,1,0,0,0,9914755,4,24,24,100,0,100,100,3386,3247,139,2,2,253,582,3389,3325,29,35,0,1,48,25,3117292070,124691682.8,150617247,154570748.1,9,248387328,16569,25,3117292070,124691682.8,150617247,154570748.1,9,248387328,16569,0,0,0,0,0,0,0,0,,40.75,1255459380,25,3117292070,124691682.8,0,25,HiFi,Mammals,HiFi,3.529815197,3.511616021,2.146128036,0.477121255,0.477121255,2.404833717,2.765668555,3.530199698,3.521922245,1.477121255,1.556302501,0,0.301029996,1.69019608,1.414973348,9.493777495,8.09583749,8.177874708,8.189127312,1,8.395129437,4.219322508,1.414973348,9.493777495,8.09583749,8.177874708,8.189127312,1,8.395129437,4.219322508,0,0,0,0,0,0,0,0,,1.62065648,9.098802666,1.414973348,9.493777495,8.09583749,0,1.414973348
GCA_040894355.2,reptiles,25,76,29,9029.9,9194,1192,30359,10,9,6,1,9,0,0,3,6,1,5,0,0,40894355,2,19,25,40,36,76,58,3386,3371,15,2,2,132,297,3385,3380,2,3,3,2,38,109,1980039302,18165498.18,123447689,153727586.3,5,311452600,4000,186,1980023902,10645289.8,56181416,60515144.65,12,121452674,4000,77,15400,200,200,200,39,200,200,,43.21,513516168,186,1980023902,10645289.8,77,109,HiFi,Turtles,HiFi,3.529815197,3.527887566,1.204119983,0.477121255,0.477121255,2.123851641,2.474216264,3.529686954,3.529045171,0.477121255,0.602059991,0.602059991,0.477121255,1.591064607,2.041392685,9.296673811,7.259247337,8.091482968,8.186751811,0.77815125,8.493391962,3.602168551,2.271841607,9.296670433,7.02715753,7.749592689,7.781864083,1.113943352,8.084407085,3.602168551,1.892094603,4.187548921,2.303196057,2.303196057,2.303196057,1.602059991,2.303196057,2.303196057,,1.645520515,8.710554123,2.271841607,9.296670433,7.02715753,1.892094603,2.041392685
GCF_007399415.2,reptiles,25,362,4,2569.75,2607,1311,3754,0,4,21,0,0,0,0,0,4,2,19,0,0,7399415,2,4,24,0,16.66666667,16.66666667,8.333333333,3377,3328,49,4,9,149,476,3378,3350,23,5,5,7,117,383,2298564209,6001473.13,147425149,177563723.1,5,370335144,5793,945,2269003890,2401062.32,12863190,16497608.78,52,62804385,1,562,29560319,52598.43,796286,1115874.14,10,3059779,1,,44.14,752829714,945,2269003890,2401062.32,562,383,CLR,Turtles,CLR I,3.528659645,3.522313795,1.698970004,0.698970004,1,2.176091259,2.678518379,3.528788192,3.525174428,1.380211242,0.77815125,0.77815125,0.903089987,2.071882007,2.584331224,9.36145664,6.778257938,8.168571578,8.249354245,0.77815125,8.568594929,3.762978491,2.975891136,9.355835241,6.380403613,7.109348718,7.217421027,1.72427587,7.797989974,0.301029996,2.750508395,7.470709131,4.720981038,5.901069626,6.047615602,1.041392685,6.485690202,0.301029996,,1.654561555,8.876696753,2.975891136,9.355835241,6.380403613,2.750508395,2.584331224
GCF_025201925.1,reptiles,25,1542,14,20394.9,20276,4887,49994,3,8,14,0,2,0,1,0,8,0,14,0,0,25201925,1,11,25,12,32,44,28,3363,3328,35,14,13,141,333,3365,3349,12,4,14,11,53,622,2460558587,3955881.97,162938067,191974041.6,5,380496693,1171,2488,2370920125,952942.17,6917139,9102287.11,96,43872830,14,1866,89638462,48037.76,345486,457803.29,78,1807615,4,,44.69,838432467,2488,2370920125,952942.17,1866,622,CLR,Turtles,CLR I,3.526855987,3.522313795,1.556302501,1.176091259,1.146128036,2.152288344,2.523746467,3.527114112,3.525044807,1.113943352,0.698970004,1.176091259,1.079181246,1.73239376,2.794488047,9.39103371,6.597243435,8.212022562,8.28324251,0.77815125,8.580350888,3.068927612,3.396024897,9.374916923,5.979067002,6.839926566,6.959150578,1.986771734,7.642195659,1.176091259,3.271144318,7.952494401,4.681591789,5.53843171,5.660679858,1.897627091,6.257106177,0.698970004,,1.659821158,8.923468088,3.396024897,9.374916923,5.979067002,3.271144318,2.794488047
GCF_027887155.1,reptiles,25,136,30,13590.3,14135,3115,23063,11,9,5,0,10,0,1,1,8,1,4,0,0,27887155,1,20,25,44,36,80,60,3387,3354,33,0,3,117,264,3386,3369,11,6,2,2,40,76,2211221380,29095018.16,144565223,173680106.5,5,356035893,10936,217,2209471813,10181897.76,75591180,71338515.11,11,138109357,10936,141,1749567,12408.28,383135,328080.17,2,582569,13,,44.46,732773386,217,2209471813,10181897.76,141,76,HiFi,Turtles,HiFi,3.529943402,3.525692525,1.531478917,0,0.602059991,2.071882007,2.423245874,3.529815197,3.527629901,1.079181246,0.84509804,0.477121255,0.477121255,1.612783857,1.886490725,9.344632225,7.463818648,8.160063833,8.239750079,0.77815125,8.551493784,4.038898212,2.338456494,9.344288466,7.007828774,7.878471131,7.853324071,1.079181246,8.140223106,4.038898212,2.152288344,6.242930827,4.093746584,5.583352961,5.515981305,0.477121255,5.765348116,1.146128036,,1.657629431,8.864969688,2.338456494,9.344288466,7.007828774,2.152288344,1.886490725
GCF_028017835.1,reptiles,25,130,29,17171.6,15404,2487,46176,9,11,5,1,6,0,2,1,10,2,3,0,0,28017835,1,20,25,36,44,80,58,3383,3361,22,2,5,129,297,3385,3373,8,4,3,2,41,106,2309740635,21790005.99,146456333,179851566.2,5,373885020,16962,254,2306416405,9080379.55,91255289,85606823.06,9,176114710,16962,148,3324230,22461.01,239976,240374.57,5,462822,13,,44.74,804419438,254,2306416405,9080379.55,148,106,HiFi,Turtles,HiFi,3.529430354,3.526597709,1.361727836,0.477121255,0.77815125,2.113943352,2.474216264,3.529686954,3.528145078,0.954242509,0.698970004,0.602059991,0.477121255,1.62324929,2.029383778,9.363563215,7.33825737,8.165708159,8.254914227,0.77815125,8.572738066,4.229502662,2.40654018,9.362937719,6.95810405,7.96025805,7.932508385,1,8.245795634,4.229502662,2.173186268,6.521691195,4.351448616,5.38016962,5.380890327,0.77815125,5.665414933,1.146128036,,1.66029616,8.905482557,2.40654018,9.362937719,6.95810405,2.173186268,2.029383778
GCA_963210335.1,birds,24,402,5,8745,5817,2462,19464,0,5,19,0,0,0,0,0,5,1,18,0,0,963210335,1,5,23,0,21.73913043,21.73913043,10.86956522,3381,3373,8,1,8,244,579,3388,3381,7,0,1,1,51,316,1279277844,4048347.61,92385878,81230819.48,6,127704412,1000,723,1279196244,1769289.41,4755657,5457405.28,87,19733697,1000,407,81600,200.49,200,200.98,203,400,200,,42.67,283481780,723,1279196244,1769289.41,407,316,HiFi,Birds,HiFi,3.529173603,3.528145078,0.954242509,0.301029996,0.954242509,2.389166084,2.763427994,3.530071569,3.529173603,0.903089987,0,0.301029996,0.301029996,1.716003344,2.501059262,9.106964879,6.607277903,7.965605595,7.90972084,0.84509804,8.106205905,3.000434077,2.859738566,9.106937176,6.247799124,6.677210615,6.736986286,1.944482672,7.295208478,3.000434077,2.610660163,4.911695481,2.304253497,2.303196057,2.305308368,2.309630167,2.603144373,2.303196057,,1.640183192,8.452525153,2.859738566,9.106937176,6.247799124,2.610660163,2.501059262
GCF_023634155.1,birds,24,219,19,11608.9,11281,3143,17223,4,11,9,0,3,0,1,0,11,1,8,0,0,23634155,1,15,23,17.39130435,47.82608696,65.2173913,41.30434783,3379,3362,17,1,10,245,613,3386,3377,9,0,0,4,64,124,1311580791,10577264.44,93682670,86409728.31,6,130779382,1890,356,1307566406,3672939.34,15744644,19314343.22,24,46898215,1890,232,4014385,17303.38,278995,370761.32,5,913007,13,,42.65,315169041,356,1307566406,3672939.34,232,124,HiFi,Birds,HiFi,3.5289167,3.526726867,1.255272505,0.301029996,1.041392685,2.390935107,2.788168371,3.529815197,3.528659645,1,0,0,0.698970004,1.812913357,2.096910013,9.117795048,7.024373403,7.971659264,7.936562645,0.84509804,8.116539284,3.276691529,2.552668216,9.116463754,6.565013874,7.197132873,7.285879967,1.397940009,7.671156323,3.276691529,2.367355921,6.603619129,4.238156044,5.445597977,5.569095591,0.77815125,5.960474583,1.146128036,,1.639984248,8.498543552,2.552668216,9.116463754,6.565013874,2.367355921,2.096910013
GCF_023638135.1,birds,24,147,8,11298.5,13261,592,16261,0,8,16,0,0,0,0,0,8,4,12,0,0,23638135,1,8,24,0,33.33333333,33.33333333,16.66666667,3362,3346,16,2,26,244,612,3368,3360,8,0,1,21,58,397,1285492283,3238015.83,91472507,80068584.48,6,127364718,3434,555,1283339475,2312323.38,24892811,33653372.77,13,89694807,3434,158,2152808,13625.37,279223,257057.22,3,454465,13,,43.03,294857223,555,1283339475,2312323.38,158,397,HiFi,Birds,HiFi,3.526726867,3.524655712,1.230448921,0.477121255,1.431363764,2.389166084,2.787460475,3.527501011,3.526468512,0.954242509,0,0.301029996,1.342422681,1.770852012,2.599883072,9.109069474,6.510279102,7.961290587,7.903462156,0.84509804,8.105049142,3.535926741,2.745074792,9.108341554,6.364048758,7.396073959,7.527028609,1.146128036,7.952767305,3.535926741,2.201397124,6.3330055,4.134380177,5.445952744,5.410031496,0.602059991,5.657501398,1.146128036,,1.643748685,8.469611772,2.745074792,9.108341554,6.364048758,2.201397124,2.599883072
GCA_027942865.1,fish,24,282,30,4857.97,5110,556,10724,13,6,5,0,10,0,3,0,6,0,5,0,0,27942865,1,19,24,54.16666667,25,79.16666667,62.5,3374,3365,9,2,14,97,215,3376,3367,9,0,5,9,65,189,945823896,5004359.24,39252737,39209294.32,12,48530455,10916,471,945732096,2007923.77,9831534,11257628.14,29,28577103,10916,282,91800,325.53,500,392.81,92,500,200,,41.51,322887591,471,945732096,2007923.77,282,189,HiFi,Ray-finned fishes,HiFi,3.528273777,3.527114112,1,0.477121255,1.176091259,1.991226076,2.334453751,3.528531061,3.527372083,1,0,0.77815125,1,1.819543936,2.278753601,8.975810283,6.699348565,7.593869956,7.593389037,1.113943352,7.686014372,4.03810331,2.673941999,8.975768129,6.302747437,6.99262133,7.051446938,1.477121255,7.456018215,4.03810331,2.451786436,4.962847412,2.513923088,2.699837726,2.59528674,1.968482949,2.699837726,2.303196057,,1.628491105,8.509051356,2.673941999,8.975768129,6.302747437,2.451786436,2.278753601
GCA_028022725.1,fish,24,366,25,7983.72,9584,531,13481,10,8,6,0,7,0,3,0,8,0,6,0,0,28022725,1,18,24,41.66666667,33.33333333,75,52.08333333,3352,3322,30,11,27,85,252,3354,3330,22,2,15,21,88,109,646369862,5929998.73,27720618,26932372.53,11,33962080,1000,475,646296662,1360624.55,4715471,5880790.82,39,16238479,1000,366,73200,200,200,200,183,200,200,,42.98,187789882,475,646296662,1360624.55,366,109,HiFi,Ray-finned fishes,HiFi,3.525433553,3.521530341,1.491361694,1.079181246,1.447158031,1.934498451,2.403120521,3.525692525,3.522574633,1.361727836,0.477121255,1.204119983,1.342422681,1.949390007,2.041392685,8.810481099,6.773054674,7.442802924,7.430274629,1.079181246,7.530994293,3.000434077,2.677606953,8.810431914,6.133738622,6.67352517,6.769435806,1.602059991,7.210545375,3.000434077,2.564666064,4.864517014,2.303196057,2.303196057,2.303196057,2.264817823,2.303196057,2.303196057,,1.643255225,8.273672191,2.677606953,8.810431914,6.133738622,2.564666064,2.041392685
GCA_031216445.1,fish,24,0,34,5570.79,5781,3735,7597,11,12,1,11,0,0,0,12,0,1,0,0,0,31216445,1,23,24,45.83333333,50,95.83333333,70.83333333,3386,3377,9,1,3,118,279,3389,3382,7,0,1,0,48,109,632510465,5802848.3,27954791,26512650.29,11,32929622,287,109,632510465,5802848.3,27954791,26512650.29,11,32929622,287,0,0,0,0,0,0,0,0,,41.07,161556211,109,632510465,5802848.3,0,109,HiFi,Ray-finned fishes,HiFi,3.529815197,3.528659645,1,0.301029996,0.602059991,2.075546961,2.447158031,3.530199698,3.529301998,0.903089987,0,0.301029996,0,1.69019608,2.041392685,8.801067716,6.763641292,7.446456265,7.42345316,1.079181246,7.517586759,2.459392488,2.041392685,8.801067716,6.763641292,7.446456265,7.42345316,1.079181246,7.517586759,2.459392488,0,0,0,0,0,0,0,0,,1.623972512,8.208323662,2.041392685,8.801067716,6.763641292,0,2.041392685
GCA_041753875.1,fish,24,0,47,4405.36,4584,550,6803,23,1,0,23,0,0,0,1,0,0,0,0,0,41753875,1,24,24,95.83333333,4.166666667,100,97.91666667,3385,3377,8,0,5,85,166,3388,3379,8,1,1,1,54,24,714975658,29790652.42,31795397,30394078.26,11,37352144,18536763,24,714975658,29790652.42,31795397,30394078.26,11,37352144,18536763,0,0,0,0,0,0,0,0,,42.03,167666215,24,714975658,29790652.42,0,24,HiFi,Ray-finned fishes,HiFi,3.529686954,3.528659645,0.954242509,0,0.77815125,1.934498451,2.222716471,3.530071569,3.5289167,0.954242509,0.301029996,0.301029996,0.301029996,1.740362689,1.397940009,8.854291257,7.474080029,7.502364266,7.482788992,1.079181246,7.572315547,7.268033921,1.397940009,8.854291257,7.474080029,7.502364266,7.482788992,1.079181246,7.572315547,7.268033921,0,0,0,0,0,0,0,0,,1.633771346,8.224445563,1.397940009,8.854291257,7.474080029,0,1.397940009
GCA_041903045.1,fish,24,7,23,6558.87,6394,3074,10139,3,17,4,0,3,0,0,14,3,4,0,0,0,41903045,1,20,24,12.5,70.83333333,83.33333333,47.91666667,3384,3363,21,0,6,85,179,3388,3374,14,0,1,1,55,176,1089387278,6189700.44,45765254,45519832.34,12,53692833,248,183,1089383778,5952916.82,44383456,43040597.05,12,53692833,248,7,3500,500,500,500,4,500,500,,41.35,346628224,183,1089383778,5952916.82,7,176,HiFi,Ray-finned fishes,HiFi,3.529558673,3.526855987,1.342422681,0,0.84509804,1.934498451,2.255272505,3.530071569,3.528273777,1.176091259,0,0.301029996,0.301029996,1.748188027,2.247973266,9.0371823,6.791669701,7.660535887,7.658200663,1.113943352,7.729916327,2.396199347,2.264817823,9.037180904,6.774729887,7.647221126,7.633878297,1.113943352,7.729916327,2.396199347,0.903089987,3.544192111,2.699837726,2.699837726,2.699837726,0.698970004,2.699837726,2.699837726,,1.626853415,8.539863923,2.264817823,9.037180904,6.774729887,0.903089987,2.247973266
GCA_042242135.1,fish,24,98,25,3822.12,4300,516,5180,4,19,1,0,2,0,2,0,19,0,1,0,0,42242135,1,23,24,16.66666667,79.16666667,95.83333333,52.08333333,3381,3351,30,0,9,103,236,3388,3359,28,1,1,1,46,552,801586327,1452149.14,28384748,23865857.85,13,36028805,8733,650,801566927,1233179.89,15715076,14357458.91,18,29748398,8733,98,19400,197.96,200,198.97,49,200,100,,39.77,304295349,650,801566927,1233179.89,98,552,HiFi,Ray-finned fishes,HiFi,3.529173603,3.52530401,1.491361694,0,1,2.017033339,2.374748346,3.530071569,3.526339277,1.462397998,0.301029996,0.301029996,0.301029996,1.672097858,2.742725131,8.903950301,6.162011521,7.453085058,7.377777068,1.146128036,7.55664987,3.941213188,2.813580989,8.90393979,6.091026786,7.196316513,7.157077612,1.278753601,7.473463598,3.941213188,1.995635195,4.287824116,2.298765772,2.303196057,2.300964847,1.698970004,2.303196057,2.004321374,,1.610340711,8.483295316,2.813580989,8.90393979,6.091026786,1.995635195,2.742725131
GCA_043250625.1,fish,24,439,7,2460,2117,1443,4040,0,7,17,0,0,0,0,0,7,0,17,0,0,43250625,1,7,24,0,29.16666667,29.16666667,14.58333333,3365,3343,22,12,13,68,194,3368,3348,20,0,14,8,73,203,833835073,4107561.94,36314571,35186726.68,11,46713506,6737,674,833750873,1237019.1,7769413,9481484.12,32,28624128,141,471,84200,178.77,200,188.12,211,200,100,,40.9,300169126,674,833750873,1237019.1,471,203,HiFi,Ray-finned fishes,HiFi,3.527114112,3.524266269,1.361727836,1.113943352,1.146128036,1.838849091,2.290034611,3.527501011,3.524915148,1.322219295,0,1.176091259,0.954242509,1.86923172,2.309630167,8.921080159,6.613584227,7.56008093,7.54637888,1.079181246,7.669442473,3.828531007,2.829303773,8.921036302,6.092376756,6.890388264,6.976876368,1.51851394,7.45673228,2.152288344,2.673941999,4.925317249,2.254717218,2.303196057,2.276737459,2.326335861,2.303196057,2.004321374,,1.622214023,8.477366022,2.829303773,8.921036302,6.092376756,2.673941999,2.309630167
GCA_045362495.1,fish,24,196,9,5269.56,5574,2918,8514,0,9,15,0,0,0,0,0,9,0,15,0,0,45362495,1,9,24,0,37.5,37.5,18.75,3375,3364,11,5,10,103,257,3380,3373,7,0,4,6,66,226,1133212262,5014213.55,48261062,46815279.57,12,55243022,4531,422,1133173562,2685245.41,21706182,22504140.56,18,46802027,4531,196,38700,197.45,200,198.71,97,200,100,,40.59,319190222,422,1133173562,2685245.41,196,226,HiFi,Ray-finned fishes,HiFi,3.528402438,3.526985069,1.079181246,0.77815125,1.041392685,2.017033339,2.411619706,3.529045171,3.528145078,0.903089987,0,0.698970004,0.84509804,1.826074803,2.356025857,9.054311266,6.700202913,7.683596883,7.670387631,1.113943352,7.742277436,3.656289901,2.626340367,9.054296434,6.428984145,7.33658346,7.352262451,1.278753601,7.670264672,3.656289901,2.294466226,4.587722187,2.297651103,2.303196057,2.300399812,1.991226076,2.303196057,2.004321374,,1.61898892,8.50404958,2.626340367,9.054296434,6.428984145,2.294466226,2.356025857
GCA_045363895.1,fish,24,84,8,6188.88,5769,5314,7941,0,8,16,0,0,0,0,1,7,1,15,0,0,45363895,1,8,24,0,33.33333333,33.33333333,16.66666667,3384,3377,7,0,6,104,279,3385,3375,10,0,4,1,58,283,1147302341,4054071.88,49091459,46981405.5,11,56331368,7404,367,1147285741,3126119.19,20615779,24446992.73,17,48432439,7404,84,16600,197.62,200,198.8,42,200,100,,39.82,394664938,367,1147285741,3126119.19,84,283,HiFi,Ray-finned fishes,HiFi,3.529558673,3.528659645,0.903089987,0,0.84509804,2.021189299,2.447158031,3.529686954,3.528402438,1.041392685,0,0.698970004,0.301029996,1.770852012,2.45331834,9.05967788,6.607891552,7.691005948,7.671926014,1.079181246,7.750750306,3.869525063,2.565847819,9.059671596,6.495005671,7.314199771,7.388225461,1.255272505,7.685136349,3.869525063,1.929418926,4.22013425,2.298022978,2.303196057,2.300595484,1.633468456,2.303196057,2.004321374,,1.610873,8.596228547,2.565847819,9.059671596,6.495005671,1.929418926,2.45331834
GCA_046255685.1,fish,24,464,1,13191,13191,13191,13191,0,1,23,0,0,0,0,0,1,1,22,0,0,46255685,1,1,23,0,4.347826087,4.347826087,2.173913043,3261,3212,49,24,105,80,161,3267,3232,34,1,29,94,84,892,817459139,916434.01,32241792,30689722.4,12,42231476,13962,1358,817365939,601889.5,4008197,5887399.15,51,22626708,13962,466,93200,200,200,200,233,200,200,,42.09,358359525,1358,817365939,601889.5,466,892,HiFi,Ray-finned fishes,HiFi,3.513483957,3.506910726,1.698970004,1.397940009,2.025305865,1.908485019,2.209515015,3.514282048,3.509605705,1.544068044,0.301029996,1.477121255,1.977723605,1.929418926,2.950851459,8.912466054,5.962101672,7.508419185,7.486992974,1.113943352,7.625636271,4.144978738,3.133219457,8.912416537,5.779517489,6.602949167,6.769923555,1.716003344,7.354621391,4.144978738,2.669316881,4.969420572,2.303196057,2.303196057,2.303196057,2.369215857,2.303196057,2.303196057,,1.634376494,8.554318953,3.133219457,8.912416537,5.779517489,2.669316881,2.950851459
GCA_047301625.1,fish,24,11,40,3189.8,3084,549,8690,22,1,0,10,6,4,2,1,0,0,0,0,0,47301625,1,23,24,91.66666667,4.166666667,95.83333333,83.33333333,3376,3359,17,4,10,75,187,3380,3365,14,1,6,4,68,43,865958939,20138579.98,38173469,36274165.36,11,43504620,25000,54,865957839,16036256.28,37536982,34597620.32,11,43504620,25000,11,1100,100,100,100,6,100,100,,41.56,253424643,54,865957839,16036256.28,11,43,HiFi,Ray-finned fishes,HiFi,3.528531061,3.526339277,1.255272505,0.698970004,1.041392685,1.880813592,2.274157849,3.529045171,3.527114112,1.176091259,0.301029996,0.84509804,0.698970004,1.838849091,1.643452676,8.9374973,7.304028866,7.581761639,7.55959744,1.079181246,7.63853539,4.39795738,1.740362689,8.937496748,7.205103015,7.574459364,7.539046241,1.079181246,7.63853539,4.39795738,1.079181246,3.041787319,2.004321374,2.004321374,2.004321374,0.84509804,2.004321374,2.004321374,,1.629001619,8.403848845,1.740362689,8.937496748,7.205103015,1.079181246,1.643452676
