Accession,Clade,total_paths,total_gaps,total_telomeres,mean_length,median_length,min_length,max_length,two_telomeres,one_telomere,no_telomeres,t2t,gapped_t2t,missassembled,gapped_missassembled,incomplete,gapped_incomplete,no_telomeres_comp,gapped_no_telomeres,discordant,gapped_discordant,core_id,version_num,with_telomeres,n_chromosomes,two_telomeres_pct,one_telomere_pct,with_telomeres_pct,total_telomeres_pct_of_ends,Technology,Extended lineage,Assembly tech,mean_telo_N50,median_telo_N50
GCF_027406575.1,primates,26,197,32,9606.53,9637,596,21226,10,13,3,0,9,0,1,1,12,0,3,0,0,27406575,1,23,26,38.46153846,50,88.46153846,61.53846154,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_028858775.2,primates,26,5,50,7490.56,6512,2018,15275,25,0,1,20,5,0,0,0,0,1,0,0,0,28858775,2,25,25,100,0,100,100,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_028885625.2,primates,26,8,48,11071.9,10714,3555,19566,23,2,1,16,7,0,0,1,1,1,0,0,0,28885625,2,25,25,92,8,100,96,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_028885655.2,primates,26,11,50,8989.02,9495,3394,13891,25,0,1,15,10,0,0,0,0,1,0,0,0,28885655,2,25,25,100,0,100,100,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_029281585.2,primates,26,2,50,8528.48,8413,1599,14162,25,0,1,23,2,0,0,0,0,1,0,0,0,29281585,2,25,25,100,0,100,100,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_029289425.2,primates,26,6,50,9615.84,9393,6083,14164,25,0,1,20,5,0,0,0,0,1,0,0,0,29289425,2,25,25,100,0,100,100,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_033349115.1,reptiles,26,350,13,9717.54,9963,1112,19093,4,7,15,0,2,0,2,0,7,0,15,0,0,33349115,1,11,26,15.38461538,26.92307692,42.30769231,25,HiFi,Turtles,HiFiasm,13941.3125,14035.5
GCA_045781085.1,reptiles,26,236,10,8296,5277,559,34683,0,10,16,0,0,0,0,0,10,1,15,0,0,45781085,1,10,25,0,40,40,20,HiFi,Turtles,HiFi,13941.3125,14035.5
GCF_004027225.2,birds,25,325,5,3943,4068,2286,5457,0,5,20,0,0,0,0,0,5,2,18,0,0,4027225,2,5,25,0,20,20,10,CLR,Birds,RSII,8283.715384615385,7730.0
GCF_015220075.1,birds,25,619,6,2631.5,2907,1409,3034,0,6,19,0,0,0,0,0,6,1,18,0,0,15220075,1,6,24,0,25,25,12.5,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_023634085.1,birds,25,210,9,8066.89,8091,2221,17563,0,9,16,0,0,0,0,0,9,1,15,0,0,23634085,1,9,24,0,37.5,37.5,18.75,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_013358685.1,fish,25,187,5,3033.2,2746,1043,5428,1,4,20,0,0,0,1,0,4,1,19,0,0,13358685,1,5,24,4.166666667,16.66666667,20.83333333,10.41666667,CLR,Ray-finned fishes,CLR,6763.489795918367,6472.0
GCA_014839685.1,fish,25,105,2,793,793,753,833,0,2,23,0,0,0,0,0,2,2,21,0,0,14839685,1,2,24,0,8.333333333,8.333333333,4.166666667,CLR,Ray-finned fishes,CLR,6763.489795918367,6472.0
GCA_014839995.1,fish,25,1294,5,1377.8,869,556,3015,1,3,21,0,1,0,0,0,3,1,20,0,0,14839995,1,4,24,4.166666667,12.5,16.66666667,10.41666667,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCA_020745685.1,fish,25,281,14,2262.5,1979,579,4772,3,10,12,0,1,0,2,0,10,1,11,0,0,20745685,1,13,24,12.5,41.66666667,54.16666667,29.16666667,CLR,Ray-finned fishes,CLR II,6763.489795918367,6472.0
GCA_037039145.1,fish,25,281,24,3614.25,3572,2322,4768,4,16,5,0,4,0,0,0,16,1,4,0,0,37039145,1,20,24,16.66666667,66.66666667,83.33333333,50,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_047511565.1,fish,25,749,31,3517.74,3316,553,10564,8,13,3,0,8,0,0,0,13,1,2,0,0,47511565,1,21,24,33.33333333,54.16666667,87.5,64.58333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_048301465.1,fish,25,178,31,9105.35,8279,2165,18951,14,6,5,0,11,0,3,0,6,1,4,0,0,48301465,1,20,24,58.33333333,25,83.33333333,64.58333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_048301585.1,fish,25,2,46,20282.5,17500,530,49998,22,3,0,19,1,1,1,3,0,0,0,0,0,48301585,1,25,25,88,12,100,92,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_048628825.1,fish,25,846,30,4100.73,4046,2008,5944,13,6,6,0,11,0,2,0,6,1,5,0,0,48628825,1,19,24,54.16666667,25,79.16666667,62.5,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_905171665.2,fish,25,208,4,1956,1995,1419,2414,0,4,21,0,0,0,0,0,4,1,20,0,0,905171665,2,4,24,0,16.66666667,16.66666667,8.333333333,CLR,Ray-finned fishes,CLR II,6763.489795918367,6472.0
GCA_910591455.2,fish,25,418,24,6068.12,3805,1222,34625,10,10,5,0,4,0,6,0,10,1,4,0,0,910591455,2,20,24,41.66666667,41.66666667,83.33333333,50,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_933228915.1,fish,25,1329,15,6778.53,6888,601,10189,5,8,12,0,2,0,3,0,8,1,11,0,0,933228915,1,13,24,20.83333333,33.33333333,54.16666667,31.25,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_949357725.1,fish,25,1013,3,674,684,521,817,0,2,22,0,0,0,0,0,2,1,21,0,0,949357725,1,2,24,0,8.333333333,8.333333333,6.25,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_949748355.1,fish,25,587,30,5602.8,4155,1621,16647,19,3,3,0,8,0,11,0,3,1,2,0,0,949748355,1,22,24,79.16666667,12.5,91.66666667,62.5,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_951216825.1,fish,25,2867,2,7020.5,7020,6909,7132,1,1,23,0,0,0,1,0,1,1,22,0,0,951216825,1,2,24,4.166666667,4.166666667,8.333333333,4.166666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_951799395.1,fish,25,1691,20,6196.8,3994,605,20570,4,10,7,0,0,0,4,0,10,1,6,0,0,951799395,1,14,24,16.66666667,41.66666667,58.33333333,41.66666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_951799975.1,fish,25,621,25,6267.8,6797,2142,8530,7,12,6,0,6,0,1,0,12,1,5,0,0,951799975,1,19,24,29.16666667,50,79.16666667,52.08333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963280865.1,fish,25,2666,7,8739.43,8780,507,14226,3,3,19,0,1,0,2,0,3,1,18,0,0,963280865,1,6,24,12.5,12.5,25,14.58333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963422515.1,fish,25,1530,6,5579.83,5912,582,8705,2,3,20,0,1,0,1,0,3,1,19,0,0,963422515,1,5,24,8.333333333,12.5,20.83333333,12.5,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963454915.1,fish,25,1384,11,10675.9,9389,5537,23690,0,11,14,0,0,0,0,0,11,1,13,0,0,963454915,1,11,24,0,45.83333333,45.83333333,22.91666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963514085.1,fish,25,580,8,2401.88,2322,1053,3843,1,7,17,0,0,0,1,0,7,1,16,0,0,963514085,1,8,24,4.166666667,29.16666667,33.33333333,16.66666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963514095.1,fish,25,550,2,4171,4171,3602,4740,0,2,23,0,0,0,0,0,2,1,22,0,0,963514095,1,2,24,0,8.333333333,8.333333333,4.166666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963921795.1,fish,25,2361,6,5155,5604,912,10781,2,3,19,0,0,0,2,0,3,1,18,0,0,963921795,1,5,24,8.333333333,12.5,20.83333333,12.5,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963924005.1,fish,25,1757,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,24,0,0,963924005,1,0,24,0,0,0,0,HiFi,Ray-finned fishes,HiFi,,
GCA_964266715.1,fish,25,389,16,3610.88,3379,962,8309,0,16,9,0,0,0,0,0,16,1,8,0,0,964266715,1,16,24,0,66.66666667,66.66666667,33.33333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_965226575.1,fish,25,536,10,3933.7,1482,738,12439,1,9,15,0,0,0,1,0,9,1,14,0,0,965226575,1,10,24,4.166666667,37.5,41.66666667,20.83333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_009769545.1,fish,25,346,6,6364.67,6980,2286,9322,1,4,20,0,1,0,0,0,4,0,20,0,0,9769545,1,5,25,4,16,20,12,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_009819705.1,fish,25,283,6,5402.67,5991,1428,9454,0,6,19,0,0,0,0,0,6,1,18,0,0,9819705,1,6,24,0,25,25,12.5,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_017639745.1,fish,25,429,1,1868,1868,1868,1868,1,0,24,0,0,0,1,0,0,2,22,0,0,17639745,1,1,24,4.166666667,0,4.166666667,2.083333333,CLR,Ray-finned fishes,CLR II,6763.489795918367,6472.0
GCF_017976325.1,fish,25,60,8,2098.12,2270,1121,2744,1,6,18,0,1,0,0,1,5,1,17,0,0,17976325,1,7,24,4.166666667,25,29.16666667,16.66666667,CLR,Ray-finned fishes,CLR II,6763.489795918367,6472.0
GCF_018492685.1,fish,25,1637,18,6227.06,5354,1353,12758,4,10,11,0,4,0,0,0,10,1,10,0,0,18492685,1,14,24,16.66666667,41.66666667,58.33333333,37.5,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_020382885.2,fish,25,72,15,3352.2,3502,1295,4188,2,11,12,0,2,0,0,0,11,1,11,0,0,20382885,2,13,24,8.333333333,45.83333333,54.16666667,31.25,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_021462225.1,fish,25,388,16,1600.81,1385,510,3700,6,9,10,0,1,0,5,0,9,0,10,0,0,21462225,1,15,25,24,36,60,32,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_023375975.1,fish,25,11,33,11349.1,12520,1311,15803,13,9,3,9,2,1,1,4,5,2,1,0,0,23375975,1,22,25,52,36,88,66,HiFi,Ray-finned fishes,,6763.489795918367,6472.0
GCF_030463535.1,fish,25,720,29,8652.62,8762,916,13937,15,6,4,0,8,0,7,0,6,0,4,0,0,30463535,1,21,25,60,24,84,58,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_043641665.1,fish,25,114,29,4695.31,4796,2538,6043,14,9,2,1,5,0,8,0,9,1,1,0,0,43641665,1,23,24,58.33333333,37.5,95.83333333,60.41666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_900324485.2,fish,25,196,4,1756.25,1843,887,2452,0,4,21,0,0,0,0,0,4,1,20,0,0,900324485,2,4,24,0,16.66666667,16.66666667,8.333333333,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_900880675.1,fish,25,1002,1,617,617,617,617,0,1,24,0,0,0,0,0,1,1,23,0,0,900880675,1,1,24,0,4.166666667,4.166666667,2.083333333,CLR,Ray-finned fishes,CLR II,6763.489795918367,6472.0
GCF_900963305.1,fish,25,137,10,1371.9,901,520,3418,2,8,15,0,0,0,2,0,8,1,14,0,0,900963305,1,10,24,8.333333333,33.33333333,41.66666667,20.83333333,CLR,Ray-finned fishes,CLR II,6763.489795918367,6472.0
GCF_904848185.1,fish,25,149,10,1701.5,1710,1159,2625,2,6,17,0,2,0,0,0,6,1,16,0,0,904848185,1,8,24,8.333333333,25,33.33333333,20.83333333,CLR,Ray-finned fishes,CLR,6763.489795918367,6472.0
GCF_910596095.1,fish,25,177,16,3729.19,4178,656,6680,3,10,11,0,1,0,2,0,10,0,11,0,0,910596095,1,13,24,12.5,41.66666667,54.16666667,33.33333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_037038515.1,mammals,25,60,40,12765.2,14050,1925,20758,17,7,1,3,13,0,1,0,7,1,0,0,0,37038515,1,24,24,70.83333333,29.16666667,100,83.33333333,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_037157525.1,mammals,25,79,31,14980.1,14287,4087,25550,9,13,3,0,9,0,0,4,9,1,2,0,0,37157525,1,22,24,37.5,54.16666667,91.66666667,64.58333333,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_963383645.1,mammals,25,1804,22,5953.5,5626,1154,14607,6,10,9,0,5,0,1,0,10,1,8,0,0,963383645,1,16,24,25,41.66666667,66.66666667,45.83333333,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_964146895.2,mammals,25,140,20,2883.8,2719,592,6046,5,12,8,0,3,0,2,3,9,1,7,0,0,964146895,2,17,24,20.83333333,50,70.83333333,41.66666667,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_027574615.1,mammals,25,70,26,12904.4,13738,1107,21794,2,23,0,0,1,0,1,3,20,0,0,0,0,27574615,1,25,25,8,92,100,52,CLR,Mammals,CLR,10073.07643312102,9936.0
GCF_947179515.1,mammals,25,1129,15,8671.2,6639,1657,23236,0,15,10,0,0,0,0,0,15,1,9,0,0,947179515,1,15,25,0,60,60,30,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_009914755.4,primates,25,0,48,2853.19,2699,1457,6319,24,0,1,24,0,0,0,0,0,1,0,0,0,9914755,4,24,24,100,0,100,100,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_040894355.2,reptiles,25,76,29,9029.9,9194,1192,30359,10,9,6,1,9,0,0,3,6,1,5,0,0,40894355,2,19,25,40,36,76,58,HiFi,Turtles,HiFi,13941.3125,14035.5
GCF_007399415.2,reptiles,25,362,4,2569.75,2607,1311,3754,0,4,21,0,0,0,0,0,4,2,19,0,0,7399415,2,4,24,0,16.66666667,16.66666667,8.333333333,CLR,Turtles,CLR I,13941.3125,14035.5
GCF_025201925.1,reptiles,25,1542,14,20394.9,20276,4887,49994,3,8,14,0,2,0,1,0,8,0,14,0,0,25201925,1,11,25,12,32,44,28,CLR,Turtles,CLR I,13941.3125,14035.5
GCF_027887155.1,reptiles,25,136,30,13590.3,14135,3115,23063,11,9,5,0,10,0,1,1,8,1,4,0,0,27887155,1,20,25,44,36,80,60,HiFi,Turtles,HiFi,13941.3125,14035.5
GCF_028017835.1,reptiles,25,130,29,17171.6,15404,2487,46176,9,11,5,1,6,0,2,1,10,2,3,0,0,28017835,1,20,25,36,44,80,58,HiFi,Turtles,HiFi,13941.3125,14035.5
GCA_963210335.1,birds,24,402,5,8745,5817,2462,19464,0,5,19,0,0,0,0,0,5,1,18,0,0,963210335,1,5,23,0,21.73913043,21.73913043,10.86956522,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_023634155.1,birds,24,219,19,11608.9,11281,3143,17223,4,11,9,0,3,0,1,0,11,1,8,0,0,23634155,1,15,23,17.39130435,47.82608696,65.2173913,41.30434783,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_023638135.1,birds,24,147,8,11298.5,13261,592,16261,0,8,16,0,0,0,0,0,8,4,12,0,0,23638135,1,8,24,0,33.33333333,33.33333333,16.66666667,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_027942865.1,fish,24,282,30,4857.97,5110,556,10724,13,6,5,0,10,0,3,0,6,0,5,0,0,27942865,1,19,24,54.16666667,25,79.16666667,62.5,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_028022725.1,fish,24,366,25,7983.72,9584,531,13481,10,8,6,0,7,0,3,0,8,0,6,0,0,28022725,1,18,24,41.66666667,33.33333333,75,52.08333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_031216445.1,fish,24,0,34,5570.79,5781,3735,7597,11,12,1,11,0,0,0,12,0,1,0,0,0,31216445,1,23,24,45.83333333,50,95.83333333,70.83333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_041753875.1,fish,24,0,47,4405.36,4584,550,6803,23,1,0,23,0,0,0,1,0,0,0,0,0,41753875,1,24,24,95.83333333,4.166666667,100,97.91666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_041903045.1,fish,24,7,23,6558.87,6394,3074,10139,3,17,4,0,3,0,0,14,3,4,0,0,0,41903045,1,20,24,12.5,70.83333333,83.33333333,47.91666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_042242135.1,fish,24,98,25,3822.12,4300,516,5180,4,19,1,0,2,0,2,0,19,0,1,0,0,42242135,1,23,24,16.66666667,79.16666667,95.83333333,52.08333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_043250625.1,fish,24,439,7,2460,2117,1443,4040,0,7,17,0,0,0,0,0,7,0,17,0,0,43250625,1,7,24,0,29.16666667,29.16666667,14.58333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_045362495.1,fish,24,196,9,5269.56,5574,2918,8514,0,9,15,0,0,0,0,0,9,0,15,0,0,45362495,1,9,24,0,37.5,37.5,18.75,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_045363895.1,fish,24,84,8,6188.88,5769,5314,7941,0,8,16,0,0,0,0,1,7,1,15,0,0,45363895,1,8,24,0,33.33333333,33.33333333,16.66666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_046255685.1,fish,24,464,1,13191,13191,13191,13191,0,1,23,0,0,0,0,0,1,1,22,0,0,46255685,1,1,23,0,4.347826087,4.347826087,2.173913043,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_047301625.1,fish,24,11,40,3189.8,3084,549,8690,22,1,0,10,6,4,2,1,0,0,0,0,0,47301625,1,23,24,91.66666667,4.166666667,95.83333333,83.33333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_048128725.1,fish,24,67,14,7897.86,6086,3514,17893,1,12,11,0,1,0,0,0,12,1,10,0,0,48128725,1,13,24,4.166666667,50,54.16666667,29.16666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_048128805.1,fish,24,656,22,8395.09,8859,3605,11558,2,18,4,0,0,0,2,0,18,0,4,0,0,48128805,1,20,24,8.333333333,75,83.33333333,45.83333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_048129235.1,fish,24,21,20,3622.6,3790,994,5127,0,20,4,0,0,0,0,8,12,0,4,0,0,48129235,1,20,24,0,83.33333333,83.33333333,41.66666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_048544225.1,fish,24,1124,25,7958.52,8005,5569,10883,5,15,4,0,5,0,0,0,15,0,4,0,0,48544225,1,20,24,20.83333333,62.5,83.33333333,52.08333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_048569125.1,fish,24,2708,16,1269.94,1242,552,2650,3,2,11,0,0,0,3,0,2,0,11,0,0,48569125,1,5,24,12.5,8.333333333,20.83333333,33.33333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_049082185.1,fish,24,1146,28,8691.25,9035,728,18804,9,9,3,0,4,0,5,0,9,0,3,0,0,49082185,1,18,24,37.5,37.5,75,58.33333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_947650265.1,fish,24,1372,18,5703.5,1850,511,16779,7,7,9,0,3,0,4,0,7,1,8,0,0,947650265,1,14,23,30.43478261,30.43478261,60.86956522,39.13043478,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963383615.1,fish,24,589,26,3807.31,4298,649,7019,10,8,6,0,8,0,2,0,8,1,5,0,0,963383615,1,18,23,43.47826087,34.7826087,78.26086957,56.52173913,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963457635.1,fish,24,454,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,23,0,0,963457635,1,0,23,0,0,0,0,HiFi,Ray-finned fishes,,,
GCA_964188405.1,fish,24,2729,9,13379.1,15045,8075,18759,0,9,15,0,0,0,0,0,9,1,14,0,0,964188405,1,9,23,0,39.13043478,39.13043478,19.56521739,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_007364275.1,fish,24,593,1,544,544,544,544,0,1,23,0,0,0,0,0,1,0,23,0,0,7364275,1,1,24,0,4.166666667,4.166666667,2.083333333,CLR,Ray-finned fishes,CLR,6763.489795918367,6472.0
GCF_009762535.1,fish,24,932,32,2553.97,1671,544,10190,1,3,4,0,0,0,1,0,3,0,4,0,0,9762535,1,4,24,4.166666667,12.5,16.66666667,66.66666667,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_009829125.3,fish,24,686,14,9574.93,10608,632,18995,3,8,13,0,3,0,0,0,8,0,13,0,0,9829125,3,11,24,12.5,33.33333333,45.83333333,29.16666667,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_015220745.1,fish,24,202,13,3963.46,4021,811,7135,2,5,12,0,0,0,2,0,5,0,12,0,0,15220745,1,7,24,8.333333333,20.83333333,29.16666667,27.08333333,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_017976425.1,fish,24,98,19,3388.11,3305,606,6084,7,9,8,0,2,0,5,0,9,0,8,0,0,17976425,1,16,24,29.16666667,37.5,66.66666667,39.58333333,CLR,Ray-finned fishes,CLR II,6763.489795918367,6472.0
GCF_027409825.1,fish,24,1562,24,3966.54,4139,626,6380,9,7,8,0,8,0,1,0,7,0,8,0,0,27409825,1,16,24,37.5,29.16666667,66.66666667,50,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_039877785.1,fish,24,49,20,3895.35,3969,1043,6676,0,20,4,0,0,0,0,1,19,0,4,0,0,39877785,1,20,24,0,83.33333333,83.33333333,41.66666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_042242105.1,fish,24,86,41,4601.51,4466,991,8960,18,5,1,0,18,0,0,1,4,0,1,0,0,42242105,1,23,24,75,20.83333333,95.83333333,85.41666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_900324465.2,fish,24,266,7,1829.29,719,516,8080,0,6,17,0,0,0,0,0,6,1,16,0,0,900324465,2,6,23,0,26.08695652,26.08695652,15.2173913,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_900634415.1,fish,24,334,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,24,0,0,900634415,1,0,24,0,0,0,0,CLR,Ray-finned fishes,CLR I,,
GCF_902150065.1,fish,24,243,7,815.286,617,539,1743,1,4,18,0,0,0,1,0,4,0,18,0,0,902150065,1,5,24,4.166666667,16.66666667,20.83333333,14.58333333,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_902167405.1,fish,24,1183,12,9646.17,9691,4760,14425,2,9,13,0,1,0,1,0,9,1,12,0,0,902167405,1,11,23,8.695652174,39.13043478,47.82608696,26.08695652,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_914725855.1,fish,24,65,23,5120.04,4808,646,9158,6,15,3,0,2,1,3,1,14,1,2,0,0,914725855,1,21,24,25,62.5,87.5,47.91666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_947347685.1,fish,24,1071,12,5115.08,5008,2237,7432,1,10,13,0,1,0,0,0,10,0,13,0,0,947347685,1,11,24,4.166666667,41.66666667,45.83333333,25,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_949316205.1,fish,24,482,9,6102.33,6054,4565,9101,1,8,15,0,0,0,1,0,8,0,15,0,0,949316205,1,9,24,4.166666667,33.33333333,37.5,18.75,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_963584025.1,fish,24,556,13,9320.54,10267,662,13881,1,11,12,0,1,0,0,0,11,0,12,0,0,963584025,1,12,24,4.166666667,45.83333333,50,27.08333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_963691925.1,fish,24,1438,4,4898,4670,2316,7936,1,3,20,0,0,0,1,0,3,0,20,0,0,963691925,1,4,24,4.166666667,12.5,16.66666667,8.333333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_963854185.1,fish,24,1650,20,5062.55,4858,864,7815,0,20,4,0,0,0,0,0,20,0,4,0,0,963854185,1,20,24,0,83.33333333,83.33333333,41.66666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_963924715.1,fish,24,468,26,4588.12,4883,516,8224,4,16,3,0,3,0,1,0,16,0,3,0,0,963924715,1,20,24,16.66666667,66.66666667,83.33333333,54.16666667,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_963930695.1,fish,24,814,12,5903.08,6095,1866,9548,1,10,13,0,1,0,0,0,10,0,13,0,0,963930695,1,11,24,4.166666667,41.66666667,45.83333333,25,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_040954625.2,invertebrate,24,221,26,3055.73,2872,1866,5867,5,18,1,0,2,0,3,0,18,1,0,0,0,40954625,2,23,23,21.73913043,78.26086957,100,56.52173913,HiFi,Other Deuterostomes,HiFi,4509.2307692307695,4241.0
GCA_027563665.1,mammals,24,215,4,8363,8368,2782,13933,1,3,20,0,0,0,1,0,3,1,19,0,0,27563665,1,4,23,4.347826087,13.04347826,17.39130435,8.695652174,CLR,Mammals,CLR,10073.07643312102,9936.0
GCA_030035585.1,mammals,24,95,34,12931.5,11514,3251,39186,15,8,1,0,11,0,4,0,8,0,1,0,0,30035585,1,23,24,62.5,33.33333333,95.83333333,70.83333333,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_036417435.1,mammals,24,284,13,9064.92,9081,3307,16134,1,11,12,0,1,0,0,0,11,1,11,0,0,36417435,1,12,23,4.347826087,47.82608696,52.17391304,28.26086957,CLR,Mammals,CLR I,10073.07643312102,9936.0
GCA_043748645.1,mammals,24,82,38,14555.9,12966,5379,31681,16,8,0,0,13,0,3,3,5,0,0,0,0,43748645,1,24,24,66.66666667,33.33333333,100,79.16666667,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_048565385.1,mammals,24,71,28,7155.07,6999,747,14622,6,16,2,0,6,0,0,2,14,1,1,0,0,48565385,1,22,23,26.08695652,69.56521739,95.65217391,60.86956522,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_049354715.1,mammals,24,3,42,6569.55,3430,538,49996,19,4,1,17,2,0,0,3,1,1,0,0,0,49354715,1,23,24,79.16666667,16.66666667,95.83333333,87.5,CLR,Mammals,RSII,10073.07643312102,9936.0
GCA_949987585.1,mammals,24,155,19,8217.11,6539,999,19940,2,15,7,0,2,0,0,2,13,1,6,0,0,949987585,1,17,23,8.695652174,65.2173913,73.91304348,41.30434783,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_951394435.1,mammals,24,992,1,5557,5557,5557,5557,0,1,23,0,0,0,0,0,1,1,22,0,0,951394435,1,1,23,0,4.347826087,4.347826087,2.173913043,HiFi,Mammals,HiFi,10073.07643312102,9936.0
